rank,name,final_score,semantic_score,experience_score,behavioral_score,retrieval_score,career_growth_score,location_score,education_score,skill_depth_score,skill_duration_score,skill_endorsement_score,leadership_score,job_stability_score,startup_mindset_score,title_semantic_score,experience_semantic_score,honeypot_flag,honeypot_type,reasoning,current_title,current_company,experience_years,location
13,Candidate_0055,0.815,0.7763,1.0,0.7246,0.95,0.62,1.0,1.0,0.5933,1.0,1.0,0.0,1.0,1.0,0.6193,0.6739,False,,"Rank #13: Strong match for retrieval-focused AI engineering role. 5 years at Zomato, Cashfree building semantic search, ranking, or retrieval systems with FAISS, MLflow, Embeddings. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.87); immediate availability (notice period 0 days); strong open-source activity (github score 71). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",NLP Engineer,Swiggy,5.0,Noida
14,Candidate_0107,0.8148,0.784,1.0,0.7225,0.9,0.62,1.0,0.9,0.6667,1.0,1.0,0.0,1.0,1.0,0.656,0.7928,False,,"Rank #14: Strong match for retrieval-focused AI engineering role. 5 years at Swiggy, CRED building semantic search, ranking, or retrieval systems with Semantic Search, A/B Testing, Vector Databases. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.89); immediate availability (notice period 0 days); high offer acceptance rate (0.96). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",AI Platform Engineer,Zomato,5.0,Delhi NCR
15,Candidate_0111,0.8146,0.7529,1.0,0.7219,0.95,0.62,1.0,1.0,0.6767,0.9,1.0,0.0,1.0,1.0,0.7376,0.7279,False,,"Rank #15: Strong match for retrieval-focused AI engineering role. 7 years at Meesho, Google building semantic search, ranking, or retrieval systems with Milvus, Fine-Tuning, Python. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.90); strong open-source activity (github score 98). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",Senior AI Engineer,Freshworks,7.0,Noida
16,Candidate_0059,0.8139,0.7286,1.0,0.7644,1.0,0.62,1.0,0.9,0.7967,0.96,1.0,0.0,1.0,1.0,0.4424,0.7473,False,,"Rank #16: Strong match for retrieval-focused AI engineering role. 6 years at Sarvam AI, Microsoft building semantic search, ranking, or retrieval systems with Vector Databases, Ranking Systems, BM25. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.83); strong open-source activity (github score 98); high offer acceptance rate (0.85). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD.",Senior NLP Scientist,Zepto,6.0,Bangalore
17,Candidate_0064,0.8131,0.7508,1.0,0.7764,0.9,0.62,1.0,1.0,0.6385,1.0,1.0,0.0,1.0,1.0,0.6672,0.656,False,,"Rank #17: Strong match for retrieval-focused AI engineering role. 8 years at Microsoft, Nixtla building semantic search, ranking, or retrieval systems with MAP, Embeddings, NLP. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.97); immediate availability (notice period 0 days); strong open-source activity (github score 75). JD fit: meets the 5-9 year experience requirement (8 yrs); demonstrates retrieval/ranking expertise required by the JD.",Applied ML Engineer,Zomato,8.0,Mumbai
18,Candidate_0131,0.8126,0.7789,1.0,0.7657,0.85,0.62,1.0,1.0,0.5846,1.0,1.0,0.0,1.0,1.0,0.662,0.7332,False,,"Rank #18: Strong match for retrieval-focused AI engineering role. 9 years at BrowserStack, Setu building semantic search, ranking, or retrieval systems with Semantic Search, Transformers, Fine-Tuning. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.92); immediate availability (notice period 15 days); strong open-source activity (github score 90); high offer acceptance rate (0.99). JD fit: meets the 5-9 year experience requirement (9 yrs); demonstrates retrieval/ranking expertise required by the JD.",Senior Machine Learning Engineer,Setu,9.0,Delhi NCR
19,Candidate_0018,0.8123,0.7723,1.0,0.7005,0.85,0.62,1.0,1.0,0.75,1.0,1.0,0.0,1.0,1.0,0.656,0.7865,False,,"Rank #19: Strong match for retrieval-focused AI engineering role. 6 years at Ola, ShareChat building semantic search, ranking, or retrieval systems with FastAPI, Learning to Rank, Kubernetes. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.85); strong open-source activity (github score 81); high offer acceptance rate (0.93). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD.",AI Platform Engineer,Amazon,6.0,Hyderabad
20,Candidate_0086,0.812,0.758,1.0,0.659,1.0,0.62,1.0,1.0,0.74,0.84,1.0,0.0,1.0,1.0,0.656,0.7163,False,,"Rank #20: Strong match for retrieval-focused AI engineering role. 5 years at Microsoft, Zepto building semantic search, ranking, or retrieval systems with PyTorch, Kubernetes, Fine-Tuning. Behavioral signals: actively looking and open to work; immediate availability (notice period 15 days); strong open-source activity (github score 71). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",AI Platform Engineer,Krutrim,5.0,Noida
21,Candidate_0118,0.8118,0.7625,1.0,0.6747,0.95,0.62,1.0,1.0,0.7769,1.0,1.0,0.0,1.0,1.0,0.4649,0.7595,False,,"Rank #21: Strong match for retrieval-focused AI engineering role. 7 years at Zomato, Meesho building semantic search, ranking, or retrieval systems with Pinecone, Qdrant, Fine-Tuning. Behavioral signals: actively looking and open to work; strong open-source activity (github score 81). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",Vector Search Engineer,Setu,7.0,Bangalore
22,Candidate_0065,0.8104,0.7468,1.0,0.7207,0.95,0.62,1.0,0.9,0.7933,1.0,1.0,0.0,1.0,1.0,0.4649,0.7706,False,,"Rank #22: Strong match for retrieval-focused AI engineering role. 7 years at Flipkart, Meta building semantic search, ranking, or retrieval systems with Qdrant, Python, PyTorch. Behavioral signals: actively looking and open to work; immediate availability (notice period 0 days); strong open-source activity (github score 81); high offer acceptance rate (0.88). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",Vector Search Engineer,Dukaan,7.0,Mumbai
23,Candidate_0147,0.8098,0.7791,1.0,0.6259,1.0,0.62,1.0,1.0,0.6433,0.8578,1.0,0.0,1.0,1.0,0.656,0.7564,False,,"Rank #23: Strong match for retrieval-focused AI engineering role. 6 years at Nixtla, Sarvam AI building semantic search, ranking, or retrieval systems with Semantic Search, Python, FAISS. Behavioral signals: high recruiter engagement (response rate 0.90); strong open-source activity (github score 96). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",AI Platform Engineer,Setu,6.0,Mumbai
24,Candidate_0060,0.8093,0.7281,1.0,0.7115,1.0,0.65,1.0,1.0,0.5833,1.0,1.0,0.0,1.0,1.0,0.6672,0.6847,False,,"Rank #24: Strong match for retrieval-focused AI engineering role. 5 years at Setu, Unacademy building semantic search, ranking, or retrieval systems with FastAPI, MAP, Kubernetes. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.97). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD.",Applied ML Engineer,Zepto,5.0,Mumbai
25,Candidate_0129,0.8085,0.7282,1.0,0.751,0.93,0.65,1.0,1.0,0.6233,1.0,1.0,0.0,1.0,1.0,0.6681,0.656,False,,"Rank #25: Strong match for retrieval-focused AI engineering role. 5 years at Unacademy, PhonePe building semantic search, ranking, or retrieval systems with LoRA, RAG, Distributed Systems. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.98); strong open-source activity (github score 84). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",Ranking Engineer,BrowserStack,5.0,Pune
26,Candidate_0084,0.8085,0.7376,1.0,0.7198,0.95,0.62,1.0,0.8,0.78,1.0,1.0,0.0,1.0,1.0,0.668,0.725,False,,"Rank #26: Strong match for retrieval-focused AI engineering role. 5 years at Freshworks, Cashfree building semantic search, ranking, or retrieval systems with Recommendation Systems, NDCG, Qdrant. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.88); high offer acceptance rate (0.93). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD.",AI Infrastructure Engineer,Apple,5.0,Noida
27,Candidate_0126,0.8082,0.7183,1.0,0.7352,1.0,0.62,1.0,1.0,0.7067,1.0,1.0,0.0,1.0,0.85,0.6135,0.7003,False,,"Rank #27: Strong match for retrieval-focused AI engineering role. 7 years at ShareChat, Flipkart building semantic search, ranking, or retrieval systems with Learning to Rank, MAP, Ranking Systems. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.95); strong open-source activity (github score 83); high offer acceptance rate (0.84). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD.",Search Engineer,CRED,7.0,Noida
28,Candidate_0133,0.808,0.7166,1.0,0.7449,1.0,0.62,1.0,1.0,0.5536,1.0,1.0,0.0,1.0,1.0,0.6681,0.7246,False,,"Rank #28: Strong match for retrieval-focused AI engineering role. 5 years at Dukaan, Sarvam AI building semantic search, ranking, or retrieval systems with RAG, Elasticsearch, Recommendation Systems. Behavioral signals: actively looking and open to work; immediate availability (notice period 0 days); strong open-source activity (github score 73); high offer acceptance rate (0.93). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD.",Ranking Engineer,Zoho,5.0,Delhi NCR
29,Candidate_0138,0.8078,0.7322,1.0,0.6754,0.95,0.62,1.0,1.0,0.7333,1.0,1.0,0.0,1.0,1.0,0.668,0.7405,False,,"Rank #29: Strong match for retrieval-focused AI engineering role. 6 years at Zomato, BrowserStack building semantic search, ranking, or retrieval systems with PyTorch, Information Retrieval, Python. Behavioral signals: high recruiter engagement (response rate 0.88); immediate availability (notice period 0 days); strong open-source activity (github score 98); high offer acceptance rate (0.83). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",AI Infrastructure Engineer,PhonePe,6.0,Pune
30,Candidate_0139,0.8076,0.7701,1.0,0.663,0.95,0.62,1.0,0.9,0.6458,1.0,1.0,0.0,1.0,1.0,0.668,0.7486,False,,"Rank #30: Strong match for retrieval-focused AI engineering role. 8 years at Flipkart, Meesho building semantic search, ranking, or retrieval systems with Information Retrieval, Recommendation Systems, Retrieval Systems. Behavioral signals: immediate availability (notice period 0 days); strong open-source activity (github score 95); high offer acceptance rate (0.81). JD fit: meets the 5-9 year experience requirement (8 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",AI Infrastructure Engineer,Ola,8.0,Noida
31,Candidate_0127,0.8071,0.7331,1.0,0.6641,1.0,0.62,1.0,1.0,0.7367,1.0,1.0,0.0,1.0,0.85,0.656,0.7463,False,,"Rank #31: Strong match for retrieval-focused AI engineering role. 6 years at Setu, Zomato building semantic search, ranking, or retrieval systems with FAISS, BM25, Pinecone. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.82); immediate availability (notice period 15 days). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",AI Platform Engineer,Unacademy,6.0,Pune
32,Candidate_0067,0.807,0.6998,1.0,0.735,1.0,0.62,1.0,0.9,0.7733,1.0,1.0,0.0,1.0,1.0,0.5707,0.7451,False,,"Rank #32: Strong match for retrieval-focused AI engineering role. 8 years at Freshworks, Zomato building semantic search, ranking, or retrieval systems with Recommendation Systems, LoRA, NDCG. Behavioral signals: actively looking and open to work; strong open-source activity (github score 74). JD fit: meets the 5-9 year experience requirement (8 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",Search Infrastructure Engineer,Meesho,8.0,Bangalore
33,Candidate_0099,0.8064,0.7249,1.0,0.709,0.95,0.62,1.0,1.0,0.6633,1.0,1.0,0.0,1.0,1.0,0.6681,0.7351,False,,"Rank #33: Strong match for retrieval-focused AI engineering role. 7 years at Swiggy, Nixtla building semantic search, ranking, or retrieval systems with Semantic Search, A/B Testing, Kubernetes. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.82); immediate availability (notice period 0 days); strong open-source activity (github score 72); high offer acceptance rate (0.81). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",Ranking Engineer,Zomato,7.0,Noida
34,Candidate_0102,0.8064,0.765,1.0,0.6659,0.95,0.62,1.0,1.0,0.76,0.8644,1.0,0.0,1.0,1.0,0.4649,0.7575,False,,"Rank #34: Strong match for retrieval-focused AI engineering role. 5 years at Apple, Cashfree building semantic search, ranking, or retrieval systems with BM25, Ranking Systems, PyTorch. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.87). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",Vector Search Engineer,Meta,5.0,Mumbai
35,Candidate_0130,0.8056,0.7763,1.0,0.6124,1.0,0.62,1.0,1.0,0.6733,0.9333,1.0,0.0,1.0,1.0,0.4649,0.7627,False,,"Rank #35: Strong match for retrieval-focused AI engineering role. 7 years at Nixtla, Cashfree building semantic search, ranking, or retrieval systems with Kubernetes, Information Retrieval, MAP. Behavioral signals: high recruiter engagement (response rate 1.00). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD.",Vector Search Engineer,PhonePe,7.0,Bangalore
36,Candidate_0034,0.8056,0.7437,1.0,0.666,0.95,0.62,1.0,1.0,0.6933,1.0,1.0,0.0,1.0,1.0,0.656,0.6573,False,,"Rank #36: Strong match for retrieval-focused AI engineering role. 7 years at Google, Setu building semantic search, ranking, or retrieval systems with Docker, Pinecone, RAG. Behavioral signals: actively looking and open to work; immediate availability (notice period 15 days); high offer acceptance rate (0.87). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",AI Platform Engineer,BrowserStack,7.0,Noida
37,Candidate_0014,0.8054,0.7518,1.0,0.6982,0.95,0.62,1.0,0.8,0.73,1.0,1.0,0.0,1.0,1.0,0.6135,0.7274,False,,"Rank #37: Strong match for retrieval-focused AI engineering role. 7 years at Hasura, ShareChat building semantic search, ranking, or retrieval systems with BM25, Recommendation Systems, Semantic Search. Behavioral signals: actively looking and open to work. JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",Search Engineer,ShareChat,7.0,Delhi NCR
38,Candidate_0050,0.8051,0.8087,1.0,0.6507,0.78,0.65,1.0,1.0,0.7115,1.0,1.0,0.0,1.0,0.85,0.7376,0.7323,False,,"Rank #38: Strong match for retrieval-focused AI engineering role. 5 years at Paytm, PhonePe building semantic search, ranking, or retrieval systems with Semantic Search, Fine-Tuning, Transformers. Behavioral signals: actively looking and open to work; strong open-source activity (github score 100); high offer acceptance rate (0.90). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD.",Senior AI Engineer,Unacademy,5.0,Noida
39,Candidate_0049,0.8046,0.7176,1.0,0.7445,0.95,0.62,1.0,1.0,0.66,1.0,1.0,0.0,1.0,1.0,0.5707,0.6792,False,,"Rank #39: Strong match for retrieval-focused AI engineering role. 5 years at Setu, Meesho building semantic search, ranking, or retrieval systems with NLP, Ranking Systems, Transformers. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.93); immediate availability (notice period 15 days); strong open-source activity (github score 97). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD.",Search Infrastructure Engineer,CRED,5.0,Noida
40,Candidate_0124,0.8044,0.7216,1.0,0.7381,0.95,0.62,1.0,0.9,0.6833,1.0,1.0,0.0,1.0,1.0,0.6135,0.7347,False,,"Rank #40: Strong match for retrieval-focused AI engineering role. 9 years at ShareChat, Postman building semantic search, ranking, or retrieval systems with MAP, Milvus, Embeddings. Behavioral signals: actively looking and open to work; immediate availability (notice period 15 days); strong open-source activity (github score 89); high offer acceptance rate (0.86). JD fit: meets the 5-9 year experience requirement (9 yrs); demonstrates retrieval/ranking expertise required by the JD.",Search Engineer,Amazon,9.0,Mumbai
41,Candidate_0045,0.8043,0.7879,1.0,0.5636,1.0,0.62,1.0,1.0,0.7233,0.9311,1.0,0.0,1.0,1.0,0.4424,0.7576,False,,"Rank #41: Strong match for retrieval-focused AI engineering role. 8 years at Meta, Razorpay building semantic search, ranking, or retrieval systems with Kubernetes, Embeddings, MRR. Behavioral signals: immediate availability (notice period 15 days). JD fit: meets the 5-9 year experience requirement (8 yrs); demonstrates retrieval/ranking expertise required by the JD.",Senior NLP Scientist,Zoho,8.0,Delhi NCR
42,Candidate_0038,0.8043,0.7335,1.0,0.6844,1.0,0.62,1.0,0.9,0.7233,1.0,1.0,0.0,1.0,0.85,0.6681,0.6953,False,,"Rank #42: Strong match for retrieval-focused AI engineering role. 6 years at Paytm, Zomato building semantic search, ranking, or retrieval systems with FastAPI, Milvus, Pinecone. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.97); immediate availability (notice period 15 days); high offer acceptance rate (0.87). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD.",Ranking Engineer,Nixtla,6.0,Pune
43,Candidate_0135,0.8034,0.7485,1.0,0.6259,1.0,0.62,1.0,1.0,0.76,0.9378,1.0,0.0,1.0,1.0,0.4424,0.7268,False,,"Rank #43: Strong match for retrieval-focused AI engineering role. 7 years at Zepto, Paytm building semantic search, ranking, or retrieval systems with Milvus, Transformers, Ranking Systems. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.99); strong open-source activity (github score 80). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD.",Senior NLP Scientist,Ola,7.0,Mumbai
44,Candidate_0097,0.8031,0.6954,1.0,0.7194,0.95,0.62,1.0,1.0,0.75,0.9622,1.0,0.0,1.0,1.0,0.656,0.7321,False,,"Rank #44: Strong match for retrieval-focused AI engineering role. 6 years at CRED, Hasura building semantic search, ranking, or retrieval systems with Elasticsearch, Fine-Tuning, Kubernetes. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.81); immediate availability (notice period 15 days). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD.",AI Platform Engineer,PhonePe,6.0,Pune
45,Candidate_0101,0.8028,0.7263,1.0,0.6406,1.0,0.62,1.0,1.0,0.7071,1.0,1.0,0.0,1.0,1.0,0.5707,0.7321,False,,"Rank #45: Strong match for retrieval-focused AI engineering role. 7 years at Flipkart, Zepto building semantic search, ranking, or retrieval systems with MAP, Vector Databases, MRR. Behavioral signals: actively looking and open to work; strong open-source activity (github score 89). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",Search Infrastructure Engineer,CRED,7.0,Bangalore
46,Candidate_0061,0.8024,0.7764,1.0,0.6525,0.9,0.62,1.0,0.9,0.6267,1.0,1.0,0.0,1.0,1.0,0.668,0.7706,False,,"Rank #46: Strong match for retrieval-focused AI engineering role. 6 years at Nixtla, BrowserStack building semantic search, ranking, or retrieval systems with FAISS, Embeddings, Milvus. Behavioral signals: immediate availability (notice period 0 days); strong open-source activity (github score 75); high offer acceptance rate (0.83). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python.",AI Infrastructure Engineer,Zepto,6.0,Hyderabad
47,Candidate_0090,0.8024,0.7972,1.0,0.5859,1.0,0.62,1.0,1.0,0.6733,0.7711,0.916,0.0,1.0,0.85,0.6607,0.7602,False,,"Rank #47: Strong match for retrieval-focused AI engineering role. 9 years at Meesho, Google building semantic search, ranking, or retrieval systems with Qdrant, Learning to Rank, A/B Testing. Behavioral signals: high offer acceptance rate (0.91). JD fit: meets the 5-9 year experience requirement (9 yrs); demonstrates retrieval/ranking expertise required by the JD.",ML Engineer,PhonePe,9.0,Bangalore
