candidate_id,rank,score,reasoning
CAND_0027801,29,0.6433,"Rank #29: Strong match for retrieval-focused AI engineering role. 7 years at InMobi, Zoho building semantic search, ranking, or retrieval systems with Time Series, FAISS, Milvus. Behavioral signals: actively looking and open to work; high recruiter search visibility (521 appearances in 30d). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0052328,30,0.6428,"Rank #30: Strong match for retrieval-focused AI engineering role. 6 years at Amazon, Observe.AI building semantic search, ranking, or retrieval systems with Object Detection, LoRA, OpenSearch. Behavioral signals: actively looking and open to work; strong open-source activity (github score 77.6); high recruiter search visibility (627 appearances in 30d). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
CAND_0007009,31,0.6426,"Rank #31: Strong match for retrieval-focused AI engineering role. 8 years at Wysa, PolicyBazaar building semantic search, ranking, or retrieval systems with Statistical Modeling, ETL, Weaviate. Behavioral signals: actively looking and open to work; high recruiter search visibility (615 appearances in 30d). JD fit: meets the 5-9 year experience requirement (8 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
CAND_0091909,32,0.6418,"Rank #32: Strong match for retrieval-focused AI engineering role. 7 years at Rephrase.ai, Meta building semantic search, ranking, or retrieval systems with LLMs, Image Classification, Pinecone. Behavioral signals: actively looking and open to work; willing to relocate; high recruiter search visibility (495 appearances in 30d). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0005260,33,0.6381,"Rank #33: Strong match for retrieval-focused AI engineering role. 5 years at Netflix, Yellow.ai building semantic search, ranking, or retrieval systems with Statistical Modeling, MLOps, Snowflake. Located in Chennai, Tamil Nadu, outside preferred cities. Behavioral signals: high recruiter engagement (response rate 0.86); high offer acceptance rate (0.93); willing to relocate; high recruiter search visibility (1154 appearances in 30d). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
CAND_0053591,34,0.6369,"Rank #34: Strong match for retrieval-focused AI engineering role. 5 years at Ola, Swiggy building semantic search, ranking, or retrieval systems with LangChain, Reinforcement Learning, Embeddings. Located in Toronto, outside preferred cities. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.81); strong open-source activity (github score 75.8); high recruiter search visibility (605 appearances in 30d). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0070398,35,0.6364,"Rank #35: Strong match for retrieval-focused AI engineering role. 7 years at Genpact AI, Uber building semantic search, ranking, or retrieval systems with Image Classification, Data Science, BM25. Located in Kochi, Kerala, outside preferred cities. Behavioral signals: actively looking and open to work; willing to relocate. JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
CAND_0075249,36,0.6343,"Rank #36: Strong match for retrieval-focused AI engineering role. 6 years at Zomato, upGrad building semantic search, ranking, or retrieval systems with Sentence Transformers, Milvus, Machine Learning. Located in Ahmedabad, Gujarat, outside preferred cities. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.82); high recruiter search visibility (850 appearances in 30d). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0060072,37,0.634,"Rank #37: Strong match for retrieval-focused AI engineering role. 6 years at Amazon, Wysa building semantic search, ranking, or retrieval systems with Deep Learning, Sentence Transformers, PyTorch. Located in Indore, Madhya Pradesh, outside preferred cities. Behavioral signals: strong open-source activity (github score 82.4); willing to relocate; high recruiter search visibility (1155 appearances in 30d). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0079387,38,0.6338,"Rank #38: Strong match for retrieval-focused AI engineering role. 7 years at upGrad, Ola building semantic search, ranking, or retrieval systems with scikit-learn, Recommendation Systems, Python. Located in Trivandrum, Kerala, outside preferred cities. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.81); high recruiter search visibility (189 appearances in 30d). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
CAND_0030827,39,0.6317,"Rank #39: Strong match for retrieval-focused AI engineering role. 5 years at Freshworks, Glance building semantic search, ranking, or retrieval systems with Hugging Face Transformers, NLP, Recommendation Systems. Located in Singapore, outside preferred cities. Behavioral signals: actively looking and open to work; high recruiter search visibility (990 appearances in 30d). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0041611,40,0.6317,"Rank #40: Strong match for retrieval-focused AI engineering role. 6 years at Locobuzz, Genpact AI building semantic search, ranking, or retrieval systems with LlamaIndex, Prompt Engineering, PyTorch. Located in Austin, outside preferred cities. Behavioral signals: willing to relocate; high recruiter search visibility (1004 appearances in 30d). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0081053,41,0.6299,"Rank #41: Strong match for retrieval-focused AI engineering role. 5 years at Glance, Salesforce building semantic search, ranking, or retrieval systems with LoRA, QLoRA, Qdrant. Located in Chandigarh, Chandigarh, outside preferred cities. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.83); strong open-source activity (github score 77.7); willing to relocate; high recruiter search visibility (185 appearances in 30d). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0068811,42,0.6297,"Rank #42: Strong match for retrieval-focused AI engineering role. 8 years at Yellow.ai, Meesho building semantic search, ranking, or retrieval systems with Data Science, Vector Search, Speech Recognition. Behavioral signals: actively looking and open to work; willing to relocate; high recruiter search visibility (478 appearances in 30d). JD fit: meets the 5-9 year experience requirement (8 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0089552,43,0.6296,"Rank #43: Strong match for retrieval-focused AI engineering role. 6 years at Netflix, Mad Street Den building semantic search, ranking, or retrieval systems with Weaviate, Image Classification, TensorFlow. Located in Kolkata, West Bengal, outside preferred cities. Behavioral signals: high offer acceptance rate (0.84); willing to relocate; high recruiter search visibility (383 appearances in 30d). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0006557,44,0.6285,"Rank #44: Strong match for retrieval-focused AI engineering role. 8 years at Paytm, Apple building semantic search, ranking, or retrieval systems with Kubeflow, Data Science, Elasticsearch. Located in Jaipur, Rajasthan, outside preferred cities. Behavioral signals: actively looking and open to work; high offer acceptance rate (0.88); willing to relocate; high recruiter search visibility (482 appearances in 30d). JD fit: meets the 5-9 year experience requirement (8 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0037980,45,0.6277,"Rank #45: Strong match for retrieval-focused AI engineering role. 9 years at Niramai, Verloop.io building semantic search, ranking, or retrieval systems with LoRA, Search Infrastructure, PyTorch. Located in Kolkata, West Bengal, outside preferred cities. Behavioral signals: actively looking and open to work; immediate availability (notice period 0 days); high offer acceptance rate (0.83); willing to relocate; high recruiter search visibility (748 appearances in 30d). JD fit: meets the 5-9 year experience requirement (9 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0096172,46,0.6274,"Rank #46: Strong match for retrieval-focused AI engineering role. 5 years at Krutrim, Dream11 building semantic search, ranking, or retrieval systems with OpenSearch, Haystack, Forecasting. Located in Chennai, Tamil Nadu, outside preferred cities. Behavioral signals: high recruiter search visibility (712 appearances in 30d). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
CAND_0081852,47,0.6271,"Rank #47: Strong match for retrieval-focused AI engineering role. 6 years at Mad Street Den, Nykaa building semantic search, ranking, or retrieval systems with Salesforce CRM, Semantic Search, TTS. Behavioral signals: actively looking and open to work; strong open-source activity (github score 87.9); willing to relocate; high recruiter search visibility (438 appearances in 30d). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0015578,48,0.6252,"Rank #48: Strong match for retrieval-focused AI engineering role. 5 years at Zoho, Glance building semantic search, ranking, or retrieval systems with Diffusion Models, Embeddings, NLP. Behavioral signals: actively looking and open to work; willing to relocate; high recruiter search visibility (692 appearances in 30d). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0050454,49,0.6251,"Rank #49: Strong match for retrieval-focused AI engineering role. 7 years at Rephrase.ai, Uber building semantic search, ranking, or retrieval systems with PyTorch, LangChain, QLoRA. Behavioral signals: actively looking and open to work; willing to relocate; high recruiter search visibility (248 appearances in 30d). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0093912,50,0.6243,"Rank #50: Strong match for retrieval-focused AI engineering role. 5 years at Razorpay, Flipkart building semantic search, ranking, or retrieval systems with Feature Engineering, SAP, CNN. Located in Chandigarh, Chandigarh, outside preferred cities. Behavioral signals: actively looking and open to work; strong open-source activity (github score 81.5); high recruiter search visibility (773 appearances in 30d). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0078492,51,0.6242,"Rank #51: Strong match for retrieval-focused AI engineering role. 5 years at Verloop.io, Adobe building semantic search, ranking, or retrieval systems with Machine Learning, Haystack, FAISS. Located in Kochi, Kerala, outside preferred cities. Behavioral signals: actively looking and open to work; willing to relocate; high recruiter search visibility (1014 appearances in 30d). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0079064,52,0.6239,"Rank #52: Strong match for retrieval-focused AI engineering role. 5 years at Niramai, Razorpay building semantic search, ranking, or retrieval systems with Illustrator, LlamaIndex, OpenSearch. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.91); high recruiter search visibility (386 appearances in 30d). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0018549,53,0.6234,"Rank #53: Strong match for retrieval-focused AI engineering role. 7 years at Uber, Flipkart building semantic search, ranking, or retrieval systems with Computer Vision, Weaviate, Kubernetes. Located in Coimbatore, Tamil Nadu, outside preferred cities. Behavioral signals: actively looking and open to work; high offer acceptance rate (0.89); willing to relocate; high recruiter search visibility (631 appearances in 30d). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0042100,54,0.6232,"Rank #54: Strong match for retrieval-focused AI engineering role. 7 years at Freshworks, Netflix building semantic search, ranking, or retrieval systems with Elasticsearch, Statistical Modeling, Learning to Rank. Located in Singapore, outside preferred cities. Behavioral signals: actively looking and open to work; high recruiter engagement (response rate 0.87); willing to relocate; high recruiter search visibility (462 appearances in 30d). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0047721,55,0.6229,"Rank #55: Strong match for retrieval-focused AI engineering role. 7 years at Microsoft, Observe.AI building semantic search, ranking, or retrieval systems with Learning to Rank, MLOps, Milvus. Located in Coimbatore, Tamil Nadu, outside preferred cities. Behavioral signals: strong open-source activity (github score 90.1); willing to relocate; high recruiter search visibility (219 appearances in 30d). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0041568,56,0.6225,"Rank #56: Strong match for retrieval-focused AI engineering role. 5 years at Haptik, Salesforce building semantic search, ranking, or retrieval systems with PEFT, Weaviate, Angular. Located in Sydney, outside preferred cities. Behavioral signals: actively looking and open to work; high recruiter search visibility (718 appearances in 30d). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0065195,57,0.6215,"Rank #57: Strong match for retrieval-focused AI engineering role. 5 years at CRED, Google building semantic search, ranking, or retrieval systems with LLMs, BentoML, QLoRA. Located in Kolkata, West Bengal, outside preferred cities. Behavioral signals: actively looking and open to work; strong open-source activity (github score 87.3); high recruiter search visibility (1027 appearances in 30d). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0037566,58,0.6198,"Rank #58: Strong match for retrieval-focused AI engineering role. 7 years at LinkedIn, Paytm building semantic search, ranking, or retrieval systems with Pinecone, Time Series, LlamaIndex. Behavioral signals: actively looking and open to work; immediate availability (notice period 15 days); strong open-source activity (github score 73.4); willing to relocate; high recruiter search visibility (708 appearances in 30d). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0032515,59,0.6196,"Rank #59: Strong match for retrieval-focused AI engineering role. 5 years at PharmEasy, Razorpay building semantic search, ranking, or retrieval systems with MLflow, Milvus, Vector Search. Located in Seattle, outside preferred cities. Behavioral signals: high recruiter search visibility (303 appearances in 30d). JD fit: meets the 5-9 year experience requirement (5 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0042506,60,0.6191,"Rank #60: Strong match for retrieval-focused AI engineering role. 4 years at Verloop.io, Meesho building semantic search, ranking, or retrieval systems with PEFT, TTS, scikit-learn. Behavioral signals: actively looking and open to work; immediate availability (notice period 15 days). JD fit: demonstrates retrieval/ranking expertise required by the JD."
CAND_0083879,61,0.6189,"Rank #61: Strong match for retrieval-focused AI engineering role. 7 years at Ola, PhonePe building semantic search, ranking, or retrieval systems with MLOps, Fine-tuning LLMs, Milvus. Behavioral signals: actively looking and open to work; high offer acceptance rate (0.85); high recruiter search visibility (574 appearances in 30d). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0057563,62,0.6182,"Rank #62: Strong match for retrieval-focused AI engineering role. 7 years at Locobuzz, Yellow.ai building semantic search, ranking, or retrieval systems with Deep Learning, Speech Recognition, RAG. Located in Indore, Madhya Pradesh, outside preferred cities. Behavioral signals: high recruiter engagement (response rate 0.83); willing to relocate; high recruiter search visibility (680 appearances in 30d). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0083307,63,0.618,"Rank #63: Strong match for retrieval-focused AI engineering role. 8 years at Netflix, Ola building semantic search, ranking, or retrieval systems with OpenCV, scikit-learn, Embeddings. Located in Vizag, Andhra Pradesh, outside preferred cities. Behavioral signals: actively looking and open to work; high recruiter search visibility (233 appearances in 30d). JD fit: meets the 5-9 year experience requirement (8 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
CAND_0016163,64,0.6174,"Rank #64: Strong match for retrieval-focused AI engineering role. 7 years at Dream11, Verloop.io building semantic search, ranking, or retrieval systems with Hugging Face Transformers, Computer Vision, gRPC. Behavioral signals: actively looking and open to work; strong open-source activity (github score 95.0); high offer acceptance rate (0.85); high recruiter search visibility (1020 appearances in 30d). JD fit: meets the 5-9 year experience requirement (7 yrs); demonstrates retrieval/ranking expertise required by the JD."
CAND_0008239,65,0.6173,"Rank #65: Strong match for retrieval-focused AI engineering role. 4 years at Apple building semantic search, ranking, or retrieval systems with Milvus, Computer Vision, Feature Engineering. Located in Jaipur, Rajasthan, outside preferred cities. Behavioral signals: actively looking and open to work; immediate availability (notice period 15 days); willing to relocate; high recruiter search visibility (763 appearances in 30d). JD fit: demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
CAND_0051630,66,0.6166,"Rank #66: Strong match for retrieval-focused AI engineering role. 6 years at Razorpay, InMobi building semantic search, ranking, or retrieval systems with Elasticsearch, Hugging Face Transformers, BentoML. Located in Kolkata, West Bengal, outside preferred cities. Behavioral signals: high recruiter search visibility (107 appearances in 30d). JD fit: meets the 5-9 year experience requirement (6 yrs); demonstrates retrieval/ranking expertise required by the JD; has the required expert-level Python."
